word,count
the,345388
and,184005
i,173121
a,170290
to,163710
of,141133
this,124890
is,123966
it,116986
in,81176
that,67695
for,66806
was,64143
you,49126
with,47583
but,46668
not,46475
on,44212
have,43998
my,41082
book,38209
as,37885
are,36386
be,29763
one,28447
so,25490
like,24145
if,23925
all,23803
very,23382
they,22883
at,22258
just,22150
from,21698
about,20208
an,19801
would,19701
or,19282
has,19156
good,18298
movie,17974
had,17447
great,17119
when,16883
read,16849
by,16841
what,16520
out,16279
he,16116
will,16101
it's,15870
his,15868
more,15768
get,15081
only,14585
can,14559
me,14196
no,14148
there,13953
some,13886
really,13682
who,13067
up,12815
your,12725
it.,12418
than,12141
even,11846
don't,11739
first,11729
because,11633
her,11483
other,11335
were,11084
do,10900
time,10876
much,10875
we,10787
been,10488
love,10390
after,10301
these,9906
how,9904
she,9560
any,9186
their,9046
which,9006
am,8858
could,8780
-,8611
think,8418
many,8330
them,8236
into,8122
bought,8116
story,8110
buy,7995
well,7966
did,7953
most,7851
little,7797
then,7729
too,7682
best,7645
also,7631
never,7568
its,7517
see,7454
make,7378
better,7259
new,7246
i'm,7166
over,7137
book.,7074
does,6992
know,6988
got,6936
way,6897
should,6894
still,6796
want,6539
two,6497
people,6474
made,6349
use,6323
ever,6276
reading,6179
find,6122
cd,6096
recommend,6080
back,6009
film,6005
didn't,5877
i've,5868
album,5856
found,5740
now,5699
old,5614
books,5609
every,5588
through,5491
go,5290
work,5265
thought,5230
dvd,5194
few,5187
put,5163
say,5160
off,5077
can't,5062
years,5001
same,4988
product,4971
used,4957
music,4928
while,4928
"""i",4915
bad,4838
another,4829
before,4710
being,4612
those,4565
something,4527
our,4518
give,4507
worth,4405
lot,4369
going,4363
makes,4352
doesn't,4278
"it,",4227
where,4194
thing,4158
characters,4122
such,4118
since,4111
2,4042
hard,4039
why,4038
must,4030
songs,4029
long,4027
quality,3870
looking,3868
without,3866
look,3846
"book,",3815
nothing,3812
need,3795
last,3776
movie.,3768
watch,3730
take,3722
anyone,3703
easy,3687
real,3644
different,3604
life,3591
always,3514
own,3462
sound,3430
feel,3415
money,3415
loved,3391
enough,3382
actually,3373
big,3360
down,3316
time.,3310
version,3306
both,3274
may,3255
come,3201
written,3184
pretty,3177
keep,3158
&,3152
right,3144
him,3133
seems,3132
things,3132
waste,3122
"""this",3119
"however,",3080
year,3066
purchased,3060
times,3040
author,3038
almost,3030
original,3022
each,3013
fan,3001
part,2984
quite,2967
came,2959
around,2958
far,2948
bit,2941
set,2941
movies,2940
sure,2915
seen,2888
3,2873
end,2869
nice,2837
enjoy,2834
whole,2816
though,2813
us,2808
using,2801
plot,2795
works,2782
game,2779
play,2778
series,2766
excellent,2690
favorite,2671
interesting,2662
enjoyed,2661
anything,2640
one.,2636
having,2615
amazon,2613
song,2589
several,2540
saw,2540
reviews,2529
tried,2528
might,2525
5,2504
try,2493
probably,2487
getting,2485
here,2473
wonderful,2470
trying,2460
believe,2457
wanted,2450
character,2443
day,2440
you're,2419
writing,2415
world,2413
me.,2408
able,2388
highly,2388
until,2383
worst,2377
small,2368
liked,2359
high,2359
once,2352
read.,2348
couldn't,2346
next,2343
everything,2339
again,2329
three,2319
isn't,2309
heard,2298
understand,2296
that's,2277
watching,2275
least,2267
second,2265
gets,2264
said,2262
someone,2261
them.,2261
wasn't,2243
took,2242
fun,2227
full,2218
disappointed,2207
went,2206
4,2202
maybe,2197
gave,2189
less,2184
video,2178
definitely,2173
price,2151
between,2151
wish,2149
help,2097
away,2096
ordered,2080
listen,2071
classic,2070
received,2068
problem,2065
done,2060
started,2057
let,2042
especially,2039
man,2025
won't,2025
although,2023
again.,2022
novel,2008
show,2006
comes,2003
kind,1997
buying,1989
review,1963
true,1961
"movie,",1955
already,1954
yet,1950
looks,1945
live,1923
well.,1914
rather,1910
left,1887
fact,1883
perfect,1876
making,1876
all.,1854
star,1842
couple,1842
everyone,1841
i'd,1837
job,1833
hope,1823
tell,1812
takes,1808
stars,1806
instead,1805
young,1803
special,1788
kids,1786
seem,1782
half,1774
simply,1770
point,1768
information,1767
reason,1765
good.,1756
happy,1752
top,1740
boring,1738
start,1730
this.,1729
truly,1723
--,1711
poor,1711
order,1709
felt,1708
months,1704
completely,1703
family,1699
main,1687
pages,1686
absolutely,1683
item,1682
short,1668
action,1667
myself,1665
hear,1657
worked,1650
you'll,1648
son,1634
during,1634
goes,1633
1,1623
cover,1621
picture,1616
great.,1612
fit,1601
gives,1579
acting,1578
loves,1577
cannot,1577
purchase,1571
band,1566
piece,1565
style,1563
it!,1541
along,1539
"""""the",1538
rest,1536
return,1532
wouldn't,1528
out.,1528
finally,1526
case,1526
stories,1524
copy,1519
entire,1517
days,1517
funny,1516
others,1513
save,1505
money.,1501
scenes,1496
american,1494
sounds,1488
voice,1487
wait,1483
shows,1468
minutes,1462
amazing,1461
size,1458
school,1455
watched,1452
story.,1449
beautiful,1449
10,1443
extremely,1438
place,1428
reader,1427
together,1427
kept,1426
given,1423
difficult,1422
history,1417
fine,1415
home,1415
"well,",1414
film.,1409
write,1407
product.,1404
person,1399
there's,1397
work.,1396
guess,1392
light,1392
playing,1390
seemed,1388
idea,1387
else,1380
.,1378
learn,1375
dont,1367
turn,1365
based,1365
totally,1363
christmas,1362
doing,1360
lost,1354
under,1349
thinking,1338
"me,",1329
edition,1324
line,1322
ago,1318
i'll,1317
complete,1315
needed,1308
haven't,1307
water,1305
hold,1302
black,1299
simple,1299
care,1297
called,1297
daughter,1293
wrong,1292
played,1290
box,1290
cut,1285
page,1284
cd.,1279
needs,1277
decided,1276
better.,1273
baby,1270
told,1268
however,1268
parts,1255
album.,1250
"""the",1249
power,1247
children,1247
huge,1240
"time,",1239
within,1231
single,1223
stuff,1217
looked,1213
past,1213
remember,1210
life.,1209
words,1200
working,1198
glad,1196
plastic,1193
up.,1191
interested,1191
listening,1185
problems,1184
mr.,1184
ending,1184
tv,1181
type,1179
collection,1177
you.,1176
"all,",1175
easily,1175
says,1174
please,1173
guy,1171
hours,1163
mind,1161
previous,1151
"good,",1148
(and,1147
rock,1146
john,1145
expect,1143
become,1141
stay,1140
either,1135
fans,1135
often,1131
yourself,1130
lots,1129
side,1128
english,1126
sense,1126
too.,1126
night,1122
cheap,1121
itself,1119
unit,1118
certainly,1117
friends,1116
add,1113
child,1111
sometimes,1109
four,1104
early,1099
pay,1099
five,1098
he's,1096
forward,1090
unless,1089
books.,1083
close,1082
women,1075
name,1075
supposed,1075
title,1074
stop,1073
experience,1069
woman,1065
6,1064
fast,1063
release,1061
camera,1061
friend,1060
overall,1060
track,1059
gift,1044
turned,1042
change,1042
extra,1041
expected,1039
films,1037
large,1035
check,1033
knew,1032
scene,1030
on.,1029
years.,1027
"great,",1027
pick,1021
head,1021
battery,1017
sent,1011
seeing,1011
white,1008
number,1008
"this,",1005
finish,1005
run,1004
beginning,1001
coffee,1001
exactly,994
arrived,993
